conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
CNY 391
Price CNY 391
+CNY 63 taxes and charges","Nap Corner - Cornerstay - Nap for Sale
Opens in new window
Male CityShow on map
8.1
Scored 8.1
Very good
1,225 reviews
2×
Single Room with Bath
2 single beds
Free cancellation
1 night, 2 adults
CNY 391
Price CNY 391
+CNY 63 taxes and charges
See availability","8.1
Scored 8.1
Very good
1,225 reviews",Nap Corner - Cornerstay - Nap for Sale,Male City,Single Room with Bath,
,"1 night, 2 adults
CNY 542
Price CNY 542
+CNY 193 taxes and charges","Breakfast included
Serene Sky Guest house
Opens in new window
ThoddooShow on map
9.1
Scored 9.1
Superb
58 reviews
Deluxe Double or Twin Room
2 beds (1 single, 1 double)
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
CNY 542
Price CNY 542
+CNY 193 taxes and charges
See availability","9.1
Scored 9.1
Superb
58 reviews",Serene Sky Guest house,Thoddoo,Deluxe Double or Twin Room,3 out of 5
,"1 night, 2 adults
CNY 523
Price CNY 523
+CNY 188 taxes and charges","Feridhoo Inn
Opens in new window
FeridhooShow on map
9.1
Scored 9.1
Superb
50 reviews
Location 9.5
Deluxe Double Room
1 double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site
1 night, 2 adults
CNY 523
Price CNY 523
+CNY 188 taxes and charges
See availability","9.1
Scored 9.1
Superb
50 reviews",Feridhoo Inn,Feridhoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
CNY 527
Price CNY 527
+CNY 189 taxes and charges","Breakfast included
Summer inn Thoddoo
Opens in new window
ThoddooShow on map
9.2
Scored 9.2
Superb
50 reviews
Deluxe Double Room
1 extra-large double bed
Breakfast included
1 night, 2 adults
CNY 527
Price CNY 527
+CNY 189 taxes and charges
See availability","9.2
Scored 9.2
Superb
50 reviews",Summer inn Thoddoo,Thoddoo,Deluxe Double Room,4 out of 5
,"1 night, 2 adults
CNY 323
Price CNY 323
+CNY 95 taxes and charges","Breakfast included
Detour Beach View
Opens in new window
HangnaameedhooShow on map
9.5
Scored 9.5
Exceptional
2 reviews
Deluxe Queen Room
1 large double bed
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
CNY 323
Price CNY 323
+CNY 95 taxes and charges
See availability","9.5
Scored 9.5
Exceptional
2 reviews",Detour Beach View,Hangnaameedhoo,Deluxe Queen Room,3 out of 5
,"1 night, 2 adults
CNY 341
Price CNY 341
+CNY 98 taxes and charges","Breakfast included
Veli Thoddoo Inn
Opens in new window
ThoddooShow on map
9.3
Scored 9.3
Superb
86 reviews
Cleanliness 9.4
Deluxe Double Room
1 large double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
CNY 341
Price CNY 341
+CNY 98 taxes and charges
See availability","9.3
Scored 9.3
Superb
86 reviews",Veli Thoddoo Inn,Thoddoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
CNY 978CNY 782
Original price CNY 978. Current price CNY 782.
+CNY 169 taxes and charges","Breakfast included
Thoddoo Inn
Opens in new window
ThoddooShow on map
9.4
Scored 9.4
Superb
17 reviews
Getaway Deal
Deluxe Queen Room
1 double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
CNY 978CNY 782
Original price CNY 978. Current price CNY 782.
+CNY 169 taxes and charges
See availability","9.4
Scored 9.4
Superb
17 reviews",Thoddoo Inn,Thoddoo,Deluxe Queen Room,3 out of 5
,"1 night, 2 adults
CNY 792CNY 547
Original price CNY 792. Current price CNY 547.
+CNY 164 taxes and charges","Breakfast included
Olive Goidhoo
Opens in new window
FehendhooShow on map
8.9
Scored 8.9
Fabulous
52 reviews
Deluxe Double or Twin Room with Garden View
Multiple bed types
Breakfast included
Only 7 rooms left at this price on our site
1 night, 2 adults
CNY 792CNY 547
Original price CNY 792. Current price CNY 547.
+CNY 164 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
52 reviews",Olive Goidhoo,Fehendhoo,Deluxe Double or Twin Room with Garden View,3 out of 5
,"1 night, 2 adults
CNY 661
Price CNY 661
+CNY 226 taxes and charges","The Castaway retreat
Opens in new window
FeridhooShow on map
9.2
Scored 9.2
Superb
80 reviews
Cleanliness 9.1
Double or Twin Room
Beds: 1 double or 2 singles
Only 1 room left at this price on our site
1 night, 2 adults
CNY 661
Price CNY 661
+CNY 226 taxes and charges
See availability","9.2
Scored 9.2
Superb
80 reviews",The Castaway retreat,Feridhoo,Double or Twin Room,3 out of 5
,"1 night, 2 adults
CNY 424
Price CNY 424
+CNY 105 taxes and charges","Akiri Surf Retreat
Opens in new window
ThulusdhooShow on map
8.4
Scored 8.4
Very good
34 reviews
Deluxe Double Room
1 large double bed
Only 3 rooms left at this price on our site
1 night, 2 adults
CNY 424
Price CNY 424
+CNY 105 taxes and charges
See availability","8.4
Scored 8.4
Very good
34 reviews",Akiri Surf Retreat,Thulusdhoo,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
CNY 583
Price CNY 583
+CNY 161 taxes and charges","Breakfast included
Casa Retreat
Opens in new window
HulhumaleShow on map
6.9
Scored 6.9
Review score
73 reviews
Deluxe Double Room
1 double bed
Breakfast included
1 night, 2 adults
CNY 583
Price CNY 583
+CNY 161 taxes and charges
See availability","6.9
Scored 6.9
Review score
73 reviews",Casa Retreat,Hulhumale,Deluxe Double Room,
,"1 night, 2 adults
CNY 587
Price CNY 587
+CNY 196 taxes and charges","Breakfast included
Thoddoo Sun Sky Inn, Maldives
Opens in new window
ThoddooShow on map
8.9
Scored 8.9
Fabulous
143 reviews
Double Room with Private Bathroom
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
CNY 587
Price CNY 587
+CNY 196 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
143 reviews","Thoddoo Sun Sky Inn, Maldives",Thoddoo,Double Room with Private Bathroom,4 out of 5
,"1 night, 2 adults
CNY 391
Price CNY 391
+CNY 151 taxes and charges","Dhooni Finolhu Guesthouse
Opens in new window
MaalhosShow on map
9.7
Scored 9.7
Exceptional
29 reviews
Location 9.7
Deluxe Double or Twin Room
1 double bed
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
CNY 391
Price CNY 391
+CNY 151 taxes and charges
See availability","9.7
Scored 9.7
Exceptional
29 reviews",Dhooni Finolhu Guesthouse,Maalhos,Deluxe Double or Twin Room,3 out of 5
