conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
US$54
Price US$54","Nap Corner - Cornerstay - Nap for Sale
Opens in new window
Male CityShow on map
8.1
Scored 8.1
Very good
1,184 reviews
2×
Single Room with Bath
2 single beds
Free cancellation
1 night, 2 adults
US$54
Price US$54
See availability","8.1
Scored 8.1
Very good
1,184 reviews",Nap Corner - Cornerstay - Nap for Sale,Male City,Single Room with Bath,
,"1 night, 2 adults
US$745
Price US$745","Breakfast included
Anantara Dhigu Maldives Resort - Special Offer On Transfer Rates For Summer 2024
Opens in new window
South Male AtollShow on map
Sustainability certification
9.2
Scored 9.2
Superb
221 reviews
Location 9.3
Sunrise Beach Villa
1 extra-large double bed
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site
1 night, 2 adults
US$745
Price US$745
See availability","9.2
Scored 9.2
Superb
221 reviews",Anantara Dhigu Maldives Resort - Special Offer On Transfer Rates For Summer 2024,South Male Atoll,Sunrise Beach Villa,5 out of 5
,"1 night, 2 adults
US$458
Price US$458","Breakfast included
Banyan Tree Vabbinfaru
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Male CityShow on map
Sustainability certification
9.1
Scored 9.1
Superb
320 reviews
Location 9.5
Oceanview Pool Villa - Free transfer offer for minimum 3 Nights valid from 01 May 2024 until 30 Sep 2024
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
1 night, 2 adults
US$458
Price US$458
See availability","9.1
Scored 9.1
Superb
320 reviews",Banyan Tree Vabbinfaru,Male City,Oceanview Pool Villa - Free transfer offer for minimum 3 Nights valid from 01 May 2024 until 30 Sep 2024,5 out of 5
,"1 night, 2 adults
US$1,200
Price US$1,200","Breakfast included
Naladhu Private Island Maldives - Special Offer On Transfer Rates For Summer 2024
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
South Male AtollShow on map
Sustainability certification
9.5
Scored 9.5
Exceptional
35 reviews
Location 9.3
Ocean House with Pool and Private Beach Cabana
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Free cancellation
1 night, 2 adults
US$1,200
Price US$1,200
See availability","9.5
Scored 9.5
Exceptional
35 reviews",Naladhu Private Island Maldives - Special Offer On Transfer Rates For Summer 2024,South Male Atoll,Ocean House with Pool and Private Beach Cabana,5 out of 5
,"1 night, 2 adults
US$266
Price US$266","Coco Palm Dhuni Kolhu
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
ThulhaadhooShow on map
9.2
Scored 9.2
Superb
542 reviews
Location 9.5
Beach Villa
Entire villa • 1 bedroom • 1 bathroom • 936.5feet²
1 extra-large double bed
Free cancellation
1 night, 2 adults
US$266
Price US$266
See availability","9.2
Scored 9.2
Superb
542 reviews",Coco Palm Dhuni Kolhu,Thulhaadhoo,Beach Villa,4 out of 5
,"1 night, 2 adults
US$755
Price US$755","Breakfast included
Niyama Private Islands Maldives
Opens in new window
Dhaalu AtollShow on map
Sustainability certification
9.3
Scored 9.3
Superb
116 reviews
Beach Villa
Entire villa • 1 bedroom • 1 bathroom • 1,453.1feet²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
1 night, 2 adults
US$755
Price US$755
See availability","9.3
Scored 9.3
Superb
116 reviews",Niyama Private Islands Maldives,Dhaalu Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
US$220US$110
Original price US$220. Current price US$110.","Reveries Maldives
Opens in new window
GanShow on map
8.5
Scored 8.5
Very good
6 reviews
Getaway Deal
Deluxe Double or Twin Room
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
US$220US$110
Original price US$220. Current price US$110.
See availability","8.5
Scored 8.5
Very good
6 reviews",Reveries Maldives,Gan,Deluxe Double or Twin Room,3 out of 5
,"1 night, 2 adults
US$35
Price US$35","Charming Holiday Lodge
Opens in new window
MiduShow on map
8.0
Scored 8.0
Very good
6 reviews
Deluxe Twin Room
2 single beds
Breakfast included
1 night, 2 adults
US$35
Price US$35
See availability","8.0
Scored 8.0
Very good
6 reviews",Charming Holiday Lodge,Midu,Deluxe Twin Room,3 out of 5
,"1 night, 2 adults
US$247US$185
Original price US$247. Current price US$185.","Breakfast included
Reethi Beach Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Baa AtollShow on map
8.6
Scored 8.6
Fabulous
574 reviews
Location 9.3
Reethi Sunrise Villa
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 505.9feet²
1 extra-large double bed
Breakfast included
Only 1 left at this price on our site
1 night, 2 adults
US$247US$185
Original price US$247. Current price US$185.
See availability","8.6
Scored 8.6
Fabulous
574 reviews",Reethi Beach Resort,Baa Atoll,Reethi Sunrise Villa,4 out of 5
,"1 night, 2 adults
US$337
Price US$337","Breakfast & dinner included
Dreamland Maldives Resort
Opens in new window
Baa AtollShow on map
9.0
Scored 9.0
Superb
15 reviews
Location 9.3
Beach Bungalow
Entire bungalow • 1 bedroom • 1 bathroom • 839.6feet²
1 extra-large double bed
Breakfast & dinner included
1 night, 2 adults
US$337
Price US$337
See availability","9.0
Scored 9.0
Superb
15 reviews",Dreamland Maldives Resort,Baa Atoll,Beach Bungalow,4 out of 5
,"1 night, 2 adults
US$43
Price US$43","Breakfast included
Dravida Hotel
Opens in new window
MaamigiliShow on map
8.7
Scored 8.7
Fabulous
20 reviews
Double Room with Private Bathroom
1 single bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
US$43
Price US$43
See availability","8.7
Scored 8.7
Fabulous
20 reviews",Dravida Hotel,Maamigili,Double Room with Private Bathroom,3 out of 5
