conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
US$75US$71
Original price US$75. Current price US$71.","Stay Mikado
Opens in new window
ThimarafushiShow on map
9.8
Scored 9.8
Exceptional
28 reviews
Double Room
1 large double bed
Free cancellation
Only 6 rooms left at this price on our site
1 night, 2 adults
US$75US$71
Original price US$75. Current price US$71.
See availability","9.8
Scored 9.8
Exceptional
28 reviews",Stay Mikado,Thimarafushi,Double Room,4 out of 5
,"1 night, 2 adults
US$72
Price US$72","Breakfast included
Vaali Maldives Island Escapes & Dive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
FelidhooShow on map
9.1
Scored 9.1
Superb
71 reviews
Location 9.5
Standard Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
US$72
Price US$72
See availability","9.1
Scored 9.1
Superb
71 reviews",Vaali Maldives Island Escapes & Dive,Felidhoo,Standard Double Room,3 out of 5
,"1 night, 2 adults
US$808
Price US$808","Breakfast & dinner included
NH Collection Maldives Havodda Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Gaafu Dhaalu AtollShow on map
Sustainability certification
9.1
Scored 9.1
Superb
210 reviews
Sunrise Beach Villa
1 extra-large double bed
Breakfast & dinner included
1 night, 2 adults
US$808
Price US$808
See availability","9.1
Scored 9.1
Superb
210 reviews",NH Collection Maldives Havodda Resort,Gaafu Dhaalu Atoll,Sunrise Beach Villa,5 out of 5
,"1 night, 2 adults
US$238
Price US$238","Breakfast & dinner included
Makunudu Island
Opens in new window
MakunudhooShow on map
8.7
Scored 8.7
Fabulous
240 reviews
Deluxe Beach Bungalow - Beach Front
Entire villa • 1 bedroom • 1 bathroom • 430.6feet²
1 large double bed
Breakfast & dinner included
Free cancellation
1 night, 2 adults
US$238
Price US$238
See availability","8.7
Scored 8.7
Fabulous
240 reviews",Makunudu Island,Makunudhoo,Deluxe Beach Bungalow - Beach Front,4 out of 5
,"1 night, 2 adults
US$1,272US$1,208
Original price US$1,272. Current price US$1,208.","Breakfast included
Madifushi Private Island
Opens in new window
Meemu AtollShow on map
9.0
Scored 9.0
Superb
121 reviews
Location 9.3
Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY)
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 1,550feet²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$1,272US$1,208
Original price US$1,272. Current price US$1,208.
See availability","9.0
Scored 9.0
Superb
121 reviews",Madifushi Private Island,Meemu Atoll,Beach Villa with Private Pool (One Time Free Snorkelling to nearby Reef & Free Sea Plane Transfers for Two adults (for stays more than 4 nights ONLY),5 out of 5
,"1 night, 2 adults
US$57US$54
Original price US$57. Current price US$54.","West Sands
Opens in new window
UkulhasShow on map
8.7
Scored 8.7
Fabulous
380 reviews
Location 9.5
Deluxe Room (20% off on Manta Snorkelling)
Multiple bed types
Free cancellation
1 night, 2 adults
US$57US$54
Original price US$57. Current price US$54.
See availability","8.7
Scored 8.7
Fabulous
380 reviews",West Sands,Ukulhas,Deluxe Room (20% off on Manta Snorkelling),4 out of 5
,"1 night, 2 adults
US$110US$87
Original price US$110. Current price US$87.","Thundi Village & Spa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MaalhosShow on map
8.7
Scored 8.7
Fabulous
175 reviews
Location 9.3
Getaway Deal
Standard Double Room
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$110US$87
Original price US$110. Current price US$87.
See availability","8.7
Scored 8.7
Fabulous
175 reviews",Thundi Village & Spa,Maalhos,Standard Double Room,4 out of 5
,"1 night, 2 adults
US$543
Price US$543","Breakfast included
JA Manafaru Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhidhdhooShow on map
9.3
Scored 9.3
Superb
389 reviews
Beach Villa with Private Pool
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
US$543
Price US$543
See availability","9.3
Scored 9.3
Superb
389 reviews",JA Manafaru Maldives,Dhidhdhoo,Beach Villa with Private Pool,5 out of 5
,"1 night, 2 adults
US$150US$76
Original price US$150. Current price US$76.","Breakfast included
Silver Oasis Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
HuraaShow on map
9.2
Scored 9.2
Superb
97 reviews
Double Room
1 double bed
Breakfast included
Free cancellation
Only 6 rooms left at this price on our site
1 night, 2 adults
US$150US$76
Original price US$150. Current price US$76.
See availability","9.2
Scored 9.2
Superb
97 reviews",Silver Oasis Maldives,Huraa,Double Room,4 out of 5
,"1 night, 2 adults
US$758US$417
Original price US$758. Current price US$417.","All-inclusive
Cinnamon Hakuraa Huraa Maldives - All Inclusive
Opens in new window
Meemu AtollShow on map
Sustainability certification
9.4
Scored 9.4
Superb
560 reviews
Location 9.4
Standard Beach Bungalow - FREE return speedboat Transfers | Book from 10-31 May 2024 2024 | Stay Dates: Valid until 31st October 2024 (valid on minimum 4-night stays) + FREE guided snorkeling session twice daily + 10% off F&B & Excursions
Entire bungalow • 1 bedroom • 1 bathroom • 753.5feet²
1 double bed
All-inclusive
Only 5 left at this price on our site
1 night, 2 adults
US$758US$417
Original price US$758. Current price US$417.
See availability","9.4
Scored 9.4
Superb
560 reviews",Cinnamon Hakuraa Huraa Maldives - All Inclusive,Meemu Atoll,Standard Beach Bungalow - FREE return speedboat Transfers | Book from 10-31 May 2024 2024 | Stay Dates: Valid until 31st October 2024 (valid on minimum 4-night stays) + FREE guided snorkeling session twice daily + 10% off F&B & Excursions,4 out of 5
